Title;Pain;Confidence;Fear;Serenity;Madness;Passion;Love;Confusion;Hope;Anger;Happiness;Sadness;Tag
A Campfire Song;11;1;2;5;0;0;0;7;6;0;1;4;Sad
A Room For Everything;2;3;0;1;0;0;0;3;1;0;0;1;Hurt
Across The Fields;1;1;0;7;0;1;5;1;5;0;4;1;Happy
All That Never Happens;3;1;2;9;0;6;4;1;5;1;4;2;Sad
Among The Americans;3;1;0;1;0;5;2;1;0;0;2;2;Hurt
Angels;2;8;0;20;2;5;12;8;1;0;3;2;Confident
Anthem For Doomed Youth;8;0;3;2;0;4;3;0;2;0;0;4;Sad
Arbor Day;0;0;0;1;0;1;0;3;1;0;0;0;Sad
Back O' The Moon;2;6;0;14;0;5;4;3;5;0;3;2;Hurt
Because The Night;7;1;0;9;0;4;11;13;13;0;12;7;Energized
Beyond The Blue;5;1;3;4;0;5;3;2;0;0;0;3;Hurt
Big Star;2;0;0;10;0;4;8;0;8;0;6;2;Energized
Blind Faith;6;0;2;12;0;0;12;8;18;0;6;6;Happy
Bread And Circuses;6;1;0;3;0;5;4;3;4;0;2;4;Hurt
Cabaret;1;1;0;3;0;2;6;0;8;0;4;2;Energized
Can't Ignore The Train;4;1;1;5;0;2;2;0;2;1;0;2;Energized
Candy Everybody Wants;5;0;0;3;0;3;6;0;6;2;6;0;Hurt
Cherry Tree;5;2;1;3;0;2;7;2;5;0;2;4;Sad
Circle Dream;1;0;1;8;0;1;9;1;1;0;0;0;Happy
City Of Angels;1;0;0;5;0;0;3;0;0;0;1;1;Confident
Cotton Alley;6;1;2;2;0;4;4;2;1;3;0;2;Hurt
Daktari;4;0;0;0;0;3;0;1;0;0;1;4;Sad
Dallas;5;0;0;7;0;5;7;0;12;0;3;5;Happy
Death Of Manolete;3;0;0;2;0;2;3;0;2;0;0;1;Sad
Don't Go Back To Rockville;7;4;0;4;0;2;0;8;1;0;2;4;Hurt
Don't Talk;6;2;2;5;0;5;0;1;3;1;1;3;Hurt
Dreadlock Holiday;12;1;0;17;0;2;10;6;11;0;12;5;Happy
Dust Bowl;10;2;0;12;0;1;1;3;9;2;3;2;Hurt
Eat For Two;4;5;0;6;0;11;1;2;7;1;6;3;Energized
Eden;3;3;0;9;0;3;2;4;5;0;1;0;Happy
Ellen;2;0;0;2;0;1;2;2;3;0;2;1;Energized
Even With My Eyes Closed;2;1;0;10;0;0;1;2;1;0;6;1;Confident
Everyday Is Like Sunday;4;0;3;1;0;1;0;2;0;0;0;4;Sad
Everyone A Puzzle Lover;1;0;0;2;0;2;1;3;2;0;1;0;Hurt
Few And Far Between;6;5;2;1;0;4;0;1;2;2;1;3;Sad
Gold Rush Brides;4;3;0;10;1;3;4;1;10;0;6;3;Sad
Hey Jack Kerouac;5;0;0;3;0;5;5;7;2;0;2;4;Sad
Like The Weather;6;1;2;2;0;4;0;5;2;0;1;2;Sad
Lilydale;0;0;0;3;0;0;1;1;3;0;1;0;Hurt
Maddox Table;3;1;0;6;1;3;2;0;2;2;2;1;Energized
More Than This;1;0;0;3;0;0;0;2;2;1;1;1;Sad
Poison In The Well;11;0;4;3;0;2;0;7;2;1;2;6;Hurt
Rainy Day;1;2;0;7;0;0;4;3;8;0;5;1;Happy
Stockton Gala Days;4;8;0;3;0;6;9;4;4;0;0;2;Confident
These Are Days;0;1;0;8;0;3;1;5;1;0;3;0;Happy
To Sir With Love;4;3;0;9;0;1;4;2;7;2;7;2;Confident
